relative_path,bytes,v10_sha256,v14_sha256,match
tw66gw02/Bootloader/build_min/mathis_min_bootloader.hex,1970,9cc71460c0a0b3eed1011bb7d50e2641e1681f9dec5df6e7482c18c388557902,9cc71460c0a0b3eed1011bb7d50e2641e1681f9dec5df6e7482c18c388557902,True
tw66gw02/Bootloader/build_min/min_boot_main.o,211368,df257bf247c6f03ca7182bba60a3785a172a211926e07b39d0969505836a8569,df257bf247c6f03ca7182bba60a3785a172a211926e07b39d0969505836a8569,True
tw66gw02/Bootloader/build_min/startup.o,4572,ec143146ebc2c1aaf86882af4b00a4393aabb78ba1707bde7c66230795facb57,ec143146ebc2c1aaf86882af4b00a4393aabb78ba1707bde7c66230795facb57,True
tw66gw02/Bootloader/build_min_bootloader.ps1,2152,e381e8417a9b2663cfed0552dd0c992f633758b207fca5dafb73a89ada002867,e381e8417a9b2663cfed0552dd0c992f633758b207fca5dafb73a89ada002867,True
tw66gw02/Bootloader/min_boot_main.c,1830,c0b1db636b5838e27321b7d9a73807a2c5da35ebdf18e408601622245b95e214,c0b1db636b5838e27321b7d9a73807a2c5da35ebdf18e408601622245b95e214,True
tw66gw02/BuildKeilFactoryTarget.ps1,2656,f98a0dbeec12d393c818c96783f6aad266c396b61c18ec3b054f8e22312d3bdf,f98a0dbeec12d393c818c96783f6aad266c396b61c18ec3b054f8e22312d3bdf,True
tw66gw02/BuildOtaArtifacts.ps1,9218,89c1d391d7621e4328c521fd3e95ad9c322bdd28f1e3e36ceb2a713ee9261d28,89c1d391d7621e4328c521fd3e95ad9c322bdd28f1e3e36ceb2a713ee9261d28,True
tw66gw02/BuildStartupDiagnostic.ps1,4414,d34959753ed8bbe7ad110347269c057b74de2d46dd5ab70754f839a09ea57407,d34959753ed8bbe7ad110347269c057b74de2d46dd5ab70754f839a09ea57407,True
tw66gw02/CHANGELOG.md,1350,a070c5c7a22d3112a7bcb699040fab3a4d0a57410e802d2beb5ec03fd41d0ad4,a070c5c7a22d3112a7bcb699040fab3a4d0a57410e802d2beb5ec03fd41d0ad4,True
tw66gw02/COP/gagent_md5.c,7411,7c7435c58508a6299040acb0de43aaef02c798973e1653a93b222dbfe0b28044,7c7435c58508a6299040acb0de43aaef02c798973e1653a93b222dbfe0b28044,True
tw66gw02/COP/gagent_md5.h,1552,34f858b2b2f755822bc98fb0389f6f5225448987e033a9d0826f4a6ba655440a,34f858b2b2f755822bc98fb0389f6f5225448987e033a9d0826f4a6ba655440a,True
tw66gw02/COP/idle.c,695,1653bfc080f1c1638400c71d2f38038ce53a579e7c80a9318650395e058b73a5,1653bfc080f1c1638400c71d2f38038ce53a579e7c80a9318650395e058b73a5,True
tw66gw02/COP/idle.h,401,a6cbdb71de115f0709a8f21967e33e6ba5a167b0ade7c5fc6a8f55b5894d6870,a6cbdb71de115f0709a8f21967e33e6ba5a167b0ade7c5fc6a8f55b5894d6870,True
tw66gw02/COP/main_control.c,31234,f122cea871413a937c84d8126fa627352c8098141cc8a7140331afcfc327a89d,f122cea871413a937c84d8126fa627352c8098141cc8a7140331afcfc327a89d,True
tw66gw02/COP/main_control.h,2128,dc7752e731cc0602547c63338571ff1db080445f32d1fa450240bfd31f2b01d9,dc7752e731cc0602547c63338571ff1db080445f32d1fa450240bfd31f2b01d9,True
tw66gw02/COP/ota.c,9857,e5a7e011b7ce278b6a1062ffebf0318c828b19f51f4b14a405e002776d453740,e5a7e011b7ce278b6a1062ffebf0318c828b19f51f4b14a405e002776d453740,True
tw66gw02/COP/ota.h,1552,a91dcf468bb37197fcbdf1b7f80bbff4941a97769c625455bd274d6fa1507d98,a91dcf468bb37197fcbdf1b7f80bbff4941a97769c625455bd274d6fa1507d98,True
