snapshot,relative_path,workspace_path,bytes,sha256,normalized_sha256,normalization
main,Core/Src/tim.c,Core/Src/tim.c,2977,ef3d834916271c53858be3887ea3ad7932a8d1a8a59dff0f199f083ae9c96e49,5a3f20e5416a450c6b7301482d84c44f5f4ad1db9648467128002457f816c0bb,utf-8 BOM/newlines normalized
main,Core/Src/usart.c,Core/Src/usart.c,11881,a38e1cd2a7a7c7537d2e8bfa51f2753b498792d9666837e17888f3cd3d4f4088,04622ce654894b60734a6b5bcd3092c90fba2a151cce9837fe6612c608b46f5c,utf-8 BOM/newlines normalized
main,Diagnostics/build_gpio_alive.ps1,Diagnostics/build_gpio_alive.ps1,2166,98ea8729441becc27af0149e6adb815a81ffba3a590727dca30fd80d37abf2c0,98ea8729441becc27af0149e6adb815a81ffba3a590727dca30fd80d37abf2c0,utf-8 BOM/newlines normalized
main,Diagnostics/gpio_alive.c,Diagnostics/gpio_alive.c,1007,e6083f0e4d6dc2c0da599716bea241c5af67666c770ba527d4e3fea6091165fb,e6083f0e4d6dc2c0da599716bea241c5af67666c770ba527d4e3fea6091165fb,utf-8 BOM/newlines normalized
main,Drivers/CMSIS/Device/ST/STM32F0xx/Include/stm32f030x8.h,Drivers/CMSIS/Device/ST/STM32F0xx/Include/stm32f030x8.h,431448,cd18a6eca343810482d09b4ac32fda7ef0c56b05250a2e87402d3a1a2b4c35e8,cd18a6eca343810482d09b4ac32fda7ef0c56b05250a2e87402d3a1a2b4c35e8,utf-8 BOM/newlines normalized
main,Drivers/CMSIS/Device/ST/STM32F0xx/Include/stm32f0xx.h,Drivers/CMSIS/Device/ST/STM32F0xx/Include/stm32f0xx.h,10976,6014250efdc39dad8e7f2d74be95db323e4cccd21fcd862ebf5fdd363d6db634,6014250efdc39dad8e7f2d74be95db323e4cccd21fcd862ebf5fdd363d6db634,raw bytes
main,Drivers/CMSIS/Device/ST/STM32F0xx/Include/system_stm32f0xx.h,Drivers/CMSIS/Device/ST/STM32F0xx/Include/system_stm32f0xx.h,2201,d7773a877737eee25efd275f32046c67f473fd23f5278e53004490f48096dbfb,d7773a877737eee25efd275f32046c67f473fd23f5278e53004490f48096dbfb,utf-8 BOM/newlines normalized
main,Drivers/CMSIS/Include/cmsis_armcc.h,Drivers/CMSIS/Include/cmsis_armcc.h,27343,3371c679298b7db7caae23215ab8efdb95fe3b5c6c1a793f8004e5be16940149,3371c679298b7db7caae23215ab8efdb95fe3b5c6c1a793f8004e5be16940149,utf-8 BOM/newlines normalized
main,Drivers/CMSIS/Include/cmsis_armclang.h,Drivers/CMSIS/Include/cmsis_armclang.h,54628,3a33c83dd7533cd2827164b89e66dc7c0f8376ef4e2d255ec50c1a58b36f670b,3a33c83dd7533cd2827164b89e66dc7c0f8376ef4e2d255ec50c1a58b36f670b,utf-8 BOM/newlines normalized
main,Drivers/CMSIS/Include/cmsis_compiler.h,Drivers/CMSIS/Include/cmsis_compiler.h,8748,03ab80c426a8360eaaad833ac816462a9f38cb2e4dbdc490914880ad071181fe,03ab80c426a8360eaaad833ac816462a9f38cb2e4dbdc490914880ad071181fe,utf-8 BOM/newlines normalized
main,Drivers/CMSIS/Include/cmsis_gcc.h,Drivers/CMSIS/Include/cmsis_gcc.h,60259,341982e6d6c91119214c47d7a04b31f1f8ce0970c45e2c9fe0870c80d0876e28,341982e6d6c91119214c47d7a04b31f1f8ce0970c45e2c9fe0870c80d0876e28,utf-8 BOM/newlines normalized
main,Drivers/CMSIS/Include/cmsis_iccarm.h,Drivers/CMSIS/Include/cmsis_iccarm.h,27479,03e120db362480dc0c57b9eb2574972029321fb8d9e993e458dbff69e6f4f91e,03e120db362480dc0c57b9eb2574972029321fb8d9e993e458dbff69e6f4f91e,utf-8 BOM/newlines normalized
main,Drivers/CMSIS/Include/cmsis_version.h,Drivers/CMSIS/Include/cmsis_version.h,1677,c2570d56ee85d4f2ec0fb62f31d080d3cddf3a015500a4ed5a006a571637b43c,c2570d56ee85d4f2ec0fb62f31d080d3cddf3a015500a4ed5a006a571637b43c,utf-8 BOM/newlines normalized
main,Drivers/CMSIS/Include/core_armv8mbl.h,Drivers/CMSIS/Include/core_armv8mbl.h,96077,6b1a61685f498b80becd4df1219c50fd47f1e8ec23ee28184585b1025387764b,6b1a61685f498b80becd4df1219c50fd47f1e8ec23ee28184585b1025387764b,utf-8 BOM/newlines normalized
main,Drivers/CMSIS/Include/core_armv8mml.h,Drivers/CMSIS/Include/core_armv8mml.h,165987,2a9f702aebde491b5a7b96d539413b2ddef1ea6872b09f9397638389aea86d0c,2a9f702aebde491b5a7b96d539413b2ddef1ea6872b09f9397638389aea86d0c,utf-8 BOM/newlines normalized
